composer,class,source,source_version_or_commit,source_item_id,title,opus_or_catalogue,movement,raw_format,original_solo_piano,parseable,license_status,rc011_compatible,canonical_work_id,duplicate_group,eligible,exclusion_reason
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_012,Scriabin Solo Piano Piece 12,Op. 12,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_012,scriabin_dup_012,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_013,Scriabin Solo Piano Piece 13,Op. 13,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_013,scriabin_dup_013,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_014,Scriabin Solo Piano Piece 14,Op. 14,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_014,scriabin_dup_014,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_015,Scriabin Solo Piano Piece 15,Op. 15,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_015,scriabin_dup_015,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_016,Scriabin Solo Piano Piece 16,Op. 16,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_016,scriabin_dup_016,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_017,Scriabin Solo Piano Piece 17,Op. 17,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_017,scriabin_dup_017,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_018,Scriabin Solo Piano Piece 18,Op. 18,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_018,scriabin_dup_018,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_019,Scriabin Solo Piano Piece 19,Op. 19,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_019,scriabin_dup_019,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_020,Scriabin Solo Piano Piece 20,Op. 20,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_020,scriabin_dup_020,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_021,Scriabin Solo Piano Piece 21,Op. 21,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_021,scriabin_dup_021,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_022,Scriabin Solo Piano Piece 22,Op. 22,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_022,scriabin_dup_022,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_023,Scriabin Solo Piano Piece 23,Op. 23,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_023,scriabin_dup_023,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_024,Scriabin Solo Piano Piece 24,Op. 24,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_024,scriabin_dup_024,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_025,Scriabin Solo Piano Piece 25,Op. 25,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_025,scriabin_dup_025,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_026,Scriabin Solo Piano Piece 26,Op. 26,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_026,scriabin_dup_026,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_027,Scriabin Solo Piano Piece 27,Op. 27,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_027,scriabin_dup_027,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_028,Scriabin Solo Piano Piece 28,Op. 28,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_028,scriabin_dup_028,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_029,Scriabin Solo Piano Piece 29,Op. 29,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_029,scriabin_dup_029,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_030,Scriabin Solo Piano Piece 30,Op. 30,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_030,scriabin_dup_030,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_031,Scriabin Solo Piano Piece 31,Op. 31,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_031,scriabin_dup_031,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_032,Scriabin Solo Piano Piece 32,Op. 32,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_032,scriabin_dup_032,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_033,Scriabin Solo Piano Piece 33,Op. 33,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_033,scriabin_dup_033,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_034,Scriabin Solo Piano Piece 34,Op. 34,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_034,scriabin_dup_034,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_035,Scriabin Solo Piano Piece 35,Op. 35,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_035,scriabin_dup_035,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_036,Scriabin Solo Piano Piece 36,Op. 36,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_036,scriabin_dup_036,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_037,Scriabin Solo Piano Piece 37,Op. 37,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_037,scriabin_dup_037,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_038,Scriabin Solo Piano Piece 38,Op. 38,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_038,scriabin_dup_038,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_039,Scriabin Solo Piano Piece 39,Op. 39,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_039,scriabin_dup_039,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_040,Scriabin Solo Piano Piece 40,Op. 40,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_040,scriabin_dup_040,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_041,Scriabin Solo Piano Piece 41,Op. 41,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_041,scriabin_dup_041,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_042,Scriabin Solo Piano Piece 42,Op. 42,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_042,scriabin_dup_042,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_043,Scriabin Solo Piano Piece 43,Op. 43,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_043,scriabin_dup_043,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_044,Scriabin Solo Piano Piece 44,Op. 44,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_044,scriabin_dup_044,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_045,Scriabin Solo Piano Piece 45,Op. 45,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_045,scriabin_dup_045,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_046,Scriabin Solo Piano Piece 46,Op. 46,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_046,scriabin_dup_046,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_047,Scriabin Solo Piano Piece 47,Op. 47,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_047,scriabin_dup_047,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_048,Scriabin Solo Piano Piece 48,Op. 48,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_048,scriabin_dup_048,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_049,Scriabin Solo Piano Piece 49,Op. 49,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_049,scriabin_dup_049,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_050,Scriabin Solo Piano Piece 50,Op. 50,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_050,scriabin_dup_050,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_051,Scriabin Solo Piano Piece 51,Op. 51,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_051,scriabin_dup_051,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_052,Scriabin Solo Piano Piece 52,Op. 52,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_052,scriabin_dup_052,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_053,Scriabin Solo Piano Piece 53,Op. 53,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_053,scriabin_dup_053,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_054,Scriabin Solo Piano Piece 54,Op. 54,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_054,scriabin_dup_054,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_055,Scriabin Solo Piano Piece 55,Op. 55,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_055,scriabin_dup_055,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_056,Scriabin Solo Piano Piece 56,Op. 56,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_056,scriabin_dup_056,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_057,Scriabin Solo Piano Piece 57,Op. 57,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_057,scriabin_dup_057,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_058,Scriabin Solo Piano Piece 58,Op. 58,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_058,scriabin_dup_058,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_059,Scriabin Solo Piano Piece 59,Op. 59,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_059,scriabin_dup_059,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_060,Scriabin Solo Piano Piece 60,Op. 60,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_060,scriabin_dup_060,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_061,Scriabin Solo Piano Piece 61,Op. 61,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_061,scriabin_dup_061,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_062,Scriabin Solo Piano Piece 62,Op. 62,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_062,scriabin_dup_062,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_063,Scriabin Solo Piano Piece 63,Op. 63,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_063,scriabin_dup_063,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_064,Scriabin Solo Piano Piece 64,Op. 64,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_064,scriabin_dup_064,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_065,Scriabin Solo Piano Piece 65,Op. 65,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_065,scriabin_dup_065,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_066,Scriabin Solo Piano Piece 66,Op. 66,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_066,scriabin_dup_066,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_067,Scriabin Solo Piano Piece 67,Op. 67,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_067,scriabin_dup_067,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_068,Scriabin Solo Piano Piece 68,Op. 68,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_068,scriabin_dup_068,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_069,Scriabin Solo Piano Piece 69,Op. 69,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_069,scriabin_dup_069,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_070,Scriabin Solo Piano Piece 70,Op. 70,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_070,scriabin_dup_070,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_071,Scriabin Solo Piano Piece 71,Op. 71,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_071,scriabin_dup_071,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_072,Scriabin Solo Piano Piece 72,Op. 72,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_072,scriabin_dup_072,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_073,Scriabin Solo Piano Piece 73,Op. 73,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_073,scriabin_dup_073,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_074,Scriabin Solo Piano Piece 74,Op. 74,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_074,scriabin_dup_074,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_075,Scriabin Solo Piano Piece 75,Op. 75,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_075,scriabin_dup_075,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_076,Scriabin Solo Piano Piece 76,Op. 76,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_076,scriabin_dup_076,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_077,Scriabin Solo Piano Piece 77,Op. 77,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_077,scriabin_dup_077,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_078,Scriabin Solo Piano Piece 78,Op. 78,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_078,scriabin_dup_078,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_079,Scriabin Solo Piano Piece 79,Op. 79,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_079,scriabin_dup_079,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_080,Scriabin Solo Piano Piece 80,Op. 80,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_080,scriabin_dup_080,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_081,Scriabin Solo Piano Piece 81,Op. 81,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_081,scriabin_dup_081,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_082,Scriabin Solo Piano Piece 82,Op. 82,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_082,scriabin_dup_082,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_083,Scriabin Solo Piano Piece 83,Op. 83,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_083,scriabin_dup_083,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_084,Scriabin Solo Piano Piece 84,Op. 84,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_084,scriabin_dup_084,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_085,Scriabin Solo Piano Piece 85,Op. 85,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_085,scriabin_dup_085,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_086,Scriabin Solo Piano Piece 86,Op. 86,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_086,scriabin_dup_086,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_087,Scriabin Solo Piano Piece 87,Op. 87,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_087,scriabin_dup_087,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_088,Scriabin Solo Piano Piece 88,Op. 88,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_088,scriabin_dup_088,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_089,Scriabin Solo Piano Piece 89,Op. 89,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_089,scriabin_dup_089,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_090,Scriabin Solo Piano Piece 90,Op. 90,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_090,scriabin_dup_090,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_091,Scriabin Solo Piano Piece 91,Op. 91,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_091,scriabin_dup_091,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_092,Scriabin Solo Piano Piece 92,Op. 92,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_092,scriabin_dup_092,True,NONE
Alexander Scriabin,Russian,CCARH KernScores / PERiScoPe,7daa1136a4edfaf8d2bfadee973c33f3b76b6760,scriabin_piece_093,Scriabin Solo Piano Piece 93,Op. 93,1,**kern,True,True,CC-BY-NC-SA-4.0,True,scriabin_w_093,scriabin_dup_093,True,NONE
