composer,source,source_version,aliases_queried,query_method,raw_matches,date_or_snapshot,filter_stage,result,evidence_reference
Anton Arensky,PDMX (Public Domain MusicXML),zenodo.15571083,"Arensky, Anton Arensky",Parquet/CSV metadata scan across 255k scores,0,2026-09-19,SOLO_PIANO_SYMBOLIC_FILTER,ZERO_MATCHES,doi:10.5281/zenodo.15571083
Anton Arensky,Stanford CCARH KernScores,kernscores-2026-snapshot,"Arensky, Anton Arensky, Arensky Anton",HTTP API & crawl of users/craig/classical,0,2026-09-19,RAW_REPOSITORY_DISCOVERY,ZERO_MATCHES,https://kern.humdrum.org
Anton Arensky,SyMuPe/PERiScoPe,v1.1,"Arensky, Anton Arensky",Full scan of metadata_v1.1.csv across 46473 performance records,0,2026-09-20,MUSICXML_SCORE_DISCOVERY,ZERO_MATCHES,https://huggingface.co/datasets/SyMuPe/PERiScoPe
Anton Arensky,SyMuPe/PianoCoRe,2026-main-dc8fadd,"Arensky, Anton Arensky",Dataset description and schema audit,0,2026-09-20,REPRESENTATION_COMPATIBILITY_CHECK,EXCLUDED_SOURCE_INCOMPATIBLE_FOR_RC011,Score MIDI lacking notation primitives
César Cui,PDMX (Public Domain MusicXML),zenodo.15571083,"Cui, Cesar Cui",Parquet/CSV metadata scan across 255k scores,0,2026-09-19,SOLO_PIANO_SYMBOLIC_FILTER,ZERO_MATCHES,doi:10.5281/zenodo.15571083
César Cui,Stanford CCARH KernScores,kernscores-2026-snapshot,"Cui, Cesar Cui, César Cui",HTTP API & crawl of users/craig/classical,0,2026-09-19,RAW_REPOSITORY_DISCOVERY,ZERO_MATCHES,https://kern.humdrum.org
César Cui,SyMuPe/PERiScoPe,v1.1,"Cui, Cesar Cui",Full scan of metadata_v1.1.csv across 46473 performance records,0,2026-09-20,MUSICXML_SCORE_DISCOVERY,ZERO_MATCHES,https://huggingface.co/datasets/SyMuPe/PERiScoPe
César Cui,SyMuPe/PianoCoRe,2026-main-dc8fadd,"Cui, Cesar Cui",Dataset description and schema audit,0,2026-09-20,REPRESENTATION_COMPATIBILITY_CHECK,EXCLUDED_SOURCE_INCOMPATIBLE_FOR_RC011,Score MIDI lacking notation primitives
Sergei Taneyev,PDMX (Public Domain MusicXML),zenodo.15571083,"Taneyev, Sergei Taneyev",Parquet/CSV metadata scan across 255k scores,0,2026-09-19,SOLO_PIANO_SYMBOLIC_FILTER,ZERO_MATCHES,doi:10.5281/zenodo.15571083
Sergei Taneyev,Stanford CCARH KernScores,kernscores-2026-snapshot,"Taneyev, Sergei Taneyev, Taneiev",HTTP API & crawl of users/craig/classical,0,2026-09-19,RAW_REPOSITORY_DISCOVERY,ZERO_MATCHES,https://kern.humdrum.org
Sergei Taneyev,SyMuPe/PERiScoPe,v1.1,"Taneyev, Sergei Taneyev",Full scan of metadata_v1.1.csv across 46473 performance records,0,2026-09-20,MUSICXML_SCORE_DISCOVERY,ZERO_MATCHES,https://huggingface.co/datasets/SyMuPe/PERiScoPe
Sergei Taneyev,SyMuPe/PianoCoRe,2026-main-dc8fadd,"Taneyev, Sergei Taneyev",Dataset description and schema audit,0,2026-09-20,REPRESENTATION_COMPATIBILITY_CHECK,EXCLUDED_SOURCE_INCOMPATIBLE_FOR_RC011,Score MIDI lacking notation primitives
